,rank,songid,title,artist,like,release_date,genre,lyric
10,11,32476250,좋은 밤 좋은 꿈,너드커넥션 (Nerd Connection),163089,2020.03.23,"인디음악, 록/메탈","저 많은 별을 다 세어 보아도
그대 마음은 헤아릴 수 없어요
그대의 부서진 마음 조각들이
차갑게 흩어져 있는 탓에
그댄 나의 어떤 모습들을
그리도 깊게 사랑했나요
이제 내가 해줄 수 있는 건
좋은 밤 좋은 꿈 안녕
좋은 밤 좋은 꿈 안녕
시월의 서늘한 공기 속에도
장미향을 난 느낄 수가 있죠
오월 어느 날에 피었던
빨갛던 밤을 기억하거든요
그댄 나의 어떤 모습들을
그리도 깊게 사랑했나요
이제 내가 해줄 수 있는 건
좋은 밤 좋은 꿈 안녕
까만 밤이 다 지나고 나면
이야기는 사라질 테지만
이름 모를 어떤 꽃말처럼
그대 곁에 남아 있을게요
나는 그대 어떤 모습들을
그리도 깊게 사랑했었나
이제 내가 해줄 수 있는 건
좋은 밤 좋은 꿈 안녕"
11,12,37051616,사랑할 수밖에,볼빨간사춘기,57281,2023.12.12,"발라드, 인디음악","간지러웠어 널 보는 내 손이
다 주고 싶었어 내 안에 남은 사랑까지
지켜 주고 싶었어
널 감싼 세상이 혹여나 너를 아프게 하진 않을까 하고

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야

당황스러웠어 내 고인 눈물이
감추고 싶었어 내 안에 남은 욕심들을
한걸음 물러섰어 네 여린 마음에
혹여나 널 더 아프게 하진 않을까 하고

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야

눈부시게 빛이 나는 그댈 보면
내 시간은 영원이 돼요
닳고 닳아도 사랑할 수밖에

난 더 아름다운 사람이 되어 널 지켜 줄 거야
널 사랑할 수밖에 없는 날 알잖아
멀리서 바라만 봐도 마음이 아픈
모질게도 끝없는 사랑을 어떻게 할 수 없어
두 손을 꼭 쥘 뿐이야"
12,13,32224166,너의 번호를 누르고 (Prod. 영화처럼),#안녕,151458,2019.11.30,"발라드, 인디음악","우연히 너를 만나서
너의 옆자리에 앉아
그렇게 우린 친해졌어
짧은 시간에 그렇게
가까워질 수 있다는게
그게 참 신기했어
소소한 일상부터
어린 시절 얘기 까지도
그리 똑같진 않아도
말이 참 잘 통해서
더 짧았던 거야
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기 까지인 가봐
어쩌다 먼 훗날에
그때 우리 약속 기억 날까
아쉬움만 가득했던
그때 난 왜 그랬을까
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
우린 여기까지인 가봐
아무일 없이 살다보면
모두 잊혀질거라
또 맘을 속이고 달래도
자꾸만 그 때 니가 생각나
또 너를 부르게 돼
너의 번호를 누르고
설레임을 가득 채우다
너의 번호를 지우며
좋았던 시간을 덜어내
그때 난 왜 몰랐을까
이뤄질 수 없는
짧은 시간속의
스쳐가버린
그 때 그 시절 속의
우린 여기까지인 가봐"
13,14,38442233,슬픈영혼식 (For Your Soul),필헌,1984,2025.01.11,"발라드, 인디음악","아마 오셨을텐데
우릴 위해 축복해 줄 사람들
그냥 그렇게 믿어
우리밖에 없다고 여기면 안돼
이제 서약해야 해 일생동안 사랑하겠노라고
넌 대답안해도 돼 
내가 두 번 말하면 되니까
눈물 흘린 거니 
내 품에 안은 니 사진이 젖었어
왜 좋은 날에 울어 너까지 이제
마지막 니 소원이였었잖아
너 가는 길에 보내 주려해 널 위한 이 반지
잃어 버리지마 손에 꼭 쥐고 가
언젠가 니 곁에 가게 되는 날
그때 내가 너의 손에 끼울게 
넌 마음 편히 먼저가

이제 가는 거니
쓸쓸한 바람 소리 문득 들렸어
나 없이 먼길 혼자 갈 수있겠니
그 길에 나 데려가면 안되니
첫 눈오거나 비오는 밤엔 가끔씩 들러 줘
해마다 오늘은 꼭 다녀가야해 나의 창가에
나의 꿈속에 잠시라도
너 가는 길에 보내 주려해 널 위한 이 반지
잃어 버리지마 손에 꼭 쥐고 가
언젠가 니곁에 가게 되는 날
그때 내가 너의 손에 끼울게 
나 늦더라도 기다려"
14,15,3894276,오래된 노래,스탠딩 에그,287441,2012.09.04,"인디음악, 포크/블루스","오래 전에 함께 듣던 노래가
발걸음을 다시 멈춰서게 해
이 거리에서
너를 느낄 수 있어
널 이 곳에서
꼭 다시 만날 것 같아
너 일까봐 한번더 바라보고
너 일까봐 자꾸 돌아보게 돼
어디선가 같은 노래를 듣고
날 생각하며
너 역시 멈춰있을까
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼 
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로
내 사랑이
그대로인 것처럼
발걸음이 여길 
찾는 것처럼
꼭 만날꺼야
지금 이 노래처럼
날 사랑하는 네 맘도
같을테니까
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로
운명처럼 아니면 우연처럼
우리가 다시 예전처럼
만날 수 있다면
너에게 나 해주고 싶은
말이 하나 있어
널 다시는 놓치지 않을게 
오래 전에 함께 듣던 노래가
거리에서 내게
우연히 들려온 것처럼
살아가다 한번쯤
우연히 만날 것 같아
사랑했던 그 모습 그대로"
15,16,31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),294476,2019.06.09,"R&B/Soul, 인디음악","별빛이 내린 밤
그 풍경 속 너와 나
날 새롭게 하는
따뜻하게 만드는
니 눈빛 니 미소
영원히 담아둘게
너로 가득한 맘
널 닮아가는 나
날 위한 선물
꿈보다 더 아름다운
서로의 품에서
끝 없는 밤을 걷자
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
행복이 짙은 날
어둠이 없는 밤
같은 맘 속에
같은 꿈이 피어난 건
우리의 정해진
운명이 맞닿은거야
나의 모든 날들을 다 주고싶어
내 이 맘을 모두 전하고 싶어
잠들지 못한
푸른 바람들
이렇게 밝게 이 밤을 비춰
너와 작은 일상을 함께 하는게
내 가장 큰 기쁨인걸 넌 알까
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
내게 온 너란 빛이 눈 부셔도
네 앞에서 한 순간도 눈 감지 않아
다가올 시간도
계절의 바람도
널 데려가지 못하게
내가 더 좋은 사람이 되고 싶어
더 아름답게 널 안을 수 있게
잠들지 못한
잠들 수 없는
바람들이 널 부르고 있어
언제까지나 너와 함께 할거야
내 마지막 숨결도 너일거야
내 세상 속에
넌 빛이 되어
지금 모습 그대로 내 곁에만
이렇게 밝게 이 밤을 비춰"
16,17,30383949,TOMBOY,혁오 (HYUKOH),264782,2017.04.24,"인디음악, 록/메탈","난 엄마가 늘 베푼 사랑에 어색해 
그래서 그런 건가 늘 어렵다니까 
잃기 두려웠던 욕심 속에도 
작은 예쁨이 있지 
난 지금 행복해 그래서 불안해 
폭풍 전 바다는 늘 고요하니까 
불이 붙어 빨리 타면 안 되잖아 
나는 사랑을 응원해 
젊은 우리 나이테는 잘 보이지 않고 
찬란한 빛에 눈이 멀어 꺼져가는데 
아아아아아 
아아아아아 
아아아아아아아 
아아아아아 
아아아아아 
아아아아아아아아아 
슬픈 어른은 늘 뒷걸음만 치고 
미운 스물을 넘긴 넌 지루해 보여 
불이 붙어 빨리 타면 안 되니까 
우리 사랑을 응원해 
젊은 우리 나이테는 잘 보이지 않고 
찬란한 빛에 눈이 멀어 꺼져가는데
그래 그때 나는 잘 몰랐었어 
우린 다른 점만 닮았고 
철이 들어 먼저 떨어져 버린 
너와 이젠 나도 닮았네 
젊은 우리 나이테는 잘 보이지 않고 
찬란한 빛에 눈이 멀어 꺼져가는데 
아아아아아
아아아아아
아아아아아아아
아아아아아
아아아아아
아아아아아아아아아"
17,18,35361345,그라데이션,10CM,180067,2022.07.03,"인디음악, 포크/블루스","밤은 다시 길고 깊어졌네
나는 점점 너로 잠 못 들게 돼
글로 적어내긴 어려운 이 기분을
너도 느꼈으면 좋겠는데
너는 아무 생각 없이 몇 번
나를 지나가며 웃은 거라지만
나의 하얀 옷에 너의 잉크가 묻어
닦아낼 수 없을 만큼 번졌네
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
요즘 노랜 뭔가 맘에 안 들어
네게 불러 주기엔 좀 어려워서
나름 며칠 밤을 새워 연습했지만
네게 들려주기엔 무리인 것 같아
너는 번질수록 진해져 가고
나의 밤은 좀 더 길고 외롭지만
하루종일 떠오르는 너의 얼굴은
방을 가득 채워 무지개같이
달콤한 색감이 물들어 조금씩
정신을 차렸을 땐 알아볼 수도 없지
가득 찬 마음이 여물다 못해
터지고 있어
내일은 말을 걸어봐야지
바람을 맞고 빗물에 젖어
나의 색감도 흐려지겠지만
너는 항상 빛에 반짝일 테니까
멋진 말들을 전하지 못하고
아무도 관심 없는 그림이 되겠지만
달콤한 색감은 감추지 못해
터지고 있어
내일은 말을 걸어봐야지
그냥 이 노래가 어떨까 싶어"
18,19,31343875,첫사랑,백아,207503,2018.10.11,"인디음악, 포크/블루스","알아 내 맘에 조용히
문을 두드리면
눈에 뿌옇게 고여버린
널 흘려보내야 해
기억은 저 빠른
시곗바늘을 놓쳐
처음 널 알아본
마지막에 웃어보일거야
사선을 트는 저 빛은
날 향해 불을 피우고
재가 되지 않으려
난 돌아서지만
빈 갈피에 차오른
우리라는 색은
완벽할 필요 없이
아름다운 영화였어
우리가 머문 밤 사이
피어버린 심장소리에
밤 하늘의 별을 이어
널 그리는 걸
이 시간의 난
너와의 시간을 물 들이고
첫사랑이라는
이름으로 지어지나봐
저 별도 달도 사랑한
우리의 파란 하늘은
손 닿을 필요 없이 부서진
은하수인것 같아
우리가 머문 밤 사이
피어버린 심장소리에
밤 하늘의 별을 이어
널 그리는 걸
이 시간의 난
너와의 시간을 물 들이고
첫 사랑이라는
이름으로 지어지나봐
이 시간의 난
첫 사랑이라는
이름으로 지워지나봐"
19,20,33868791,고백,멜로망스,118276,2021.08.29,"발라드, 인디음악","달이 차고 내 마음도 차고
이대로 담아 두기엔
너무 안타까워
너를 향해 가는데
달은 내게 오라 손짓하고
귓속에 얘길 하네
지금 이 순간이
바로 그 순간이야
제일 마음에 드는 옷을 입고
노란 꽃 한 송이를 손에 들고
널 바라 보다 그만
나도 모르게 웃어버렸네
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데
사랑한다는
그 흔한 말이 아니야
그 보단 더욱더 로맨틱하고
달콤한 말을 준비했단 말야
숨이 차고 밤 공기도 차고
두 눈을 감아야만
네 모습이 보여
걸을 수가 없는데
구름 위를 걷는다는 말이
과장이 아니란 걸 알게 됐어
널 알게 된 후부터 나의 모든 건
다 달라졌어
이게 아닌데
내 마음은 이게 아닌데
널 위해 준비한 오백 가지
멋진 말이 남았는데
사랑한다는 그 흔한 말이 아니야
그 보단 더욱더 로맨틱하고
달콤한 말을 준비했단 말야
나를 봐줘요 내 말을 들어봐 줘요
아무리 생각을 하고 또 해도
믿어지지 않을 만큼 사랑해"
20,21,33976677,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),111468,2021.09.19,"R&B/Soul, 인디음악","서로를 향한 마음이
우주의 작은 뭉쳐짐이라면
이 아름다운 기억이 흩어져도
사라지진 않을 거야
잠들지 못한 바람은
고요히 빛나는 너의 바다로
그 안에 잠겨
죽어도 좋으니 나
네 품에 안겨
너의 이름이 긴 밤을 지나
찰나가 영원이 될 때
얼마나 내가 널 좋아하면
달에 네 목소리가 보여
오색 빛 하늘 별 숲 사이로
너라는 꽃이 피어나
그 세상의 반을 가진다 해도
그저 네 앞에선
꽃에 머물고픈
한 남자일 뿐
오롯이 나를 비춰요
어둠이 드리워도 눈이 부시게
눈물조차
반짝이는 밤의 기적을 노래하네
너의 이름이 긴 밤을 지나
찰나가 영원이 될 때
얼마나 내가 널 좋아하면
달에 네 목소리가 보여
오색 빛 하늘 별 숲 사이로
너라는 꽃이 피어나
그 세상의 반을 가진다 해도
그저 네 앞에선
꽃에 머물고픈 남자일 뿐
밤 하늘 수놓인 모든 것들이
운명 위로 내리는 걸
내 꿈에 안긴 널
한 번 더 가득히 안아
시간을 넘어
빛이 닿는 세계의 바깥까지 함께
너의 깊은 미소의
황홀 속 일렁임은
영원과 이어질 거야
얼마나 내가 널 원하는지
눈을 감아도 너와 마주쳐
쏟아지는 달빛의 선율을 따라
자유의 날개로 향하는 봄날엔
너의 유일한 숨결이 분다"
21,22,33043504,가을밤에 든 생각,잔나비,159769,2020.11.06,"인디음악, 록/메탈","머나먼 별빛 저 별에서도
노랠 부르는 사랑 살겠지
밤이면 오손도손 그리운 것들 모아서
노랠 지어 부르겠지
새까만 밤하늘을 수놓은 별빛마저
불어오는 바람 따라가고
보고픈 그대 생각 짙어져 가는
시월의 아름다운 이 밤에
부르다 보면 어제가 올까
그립던 날이 참 많았는데
저 멀리 반짝이다
아련히 멀어져 가는
너는 작은 별 같아
Farewell Farewell
멀어져 가는
Farewell ooh
새까만 밤하늘을 수놓은 별빛마저
불어오는 바람 따라 가고
보고픈 그대 생각 짙어져 가는
시월의 아름다운 이 밤에
수많은 바람 불어온대도
날려 보내진 않을래
잊혀질까 두려워 곁을 맴도는
시월의 아름다운 이 밤을
기억해 주세요
Farewell Farewell"
22,23,30657311,나의 사춘기에게,볼빨간사춘기,325813,2017.09.28,"인디음악, 포크/블루스","나는 한때 내가 이 세상에 사라지길 바랬어
온 세상이 너무나 캄캄해 매일 밤을 울던 날
차라리 내가 사라지면 마음이 편할까
모두가 날 바라보는 시선이 너무나 두려워
아름답게 아름답던 그 시절을 난 아파서
사랑받을 수 없었던 내가 너무나 싫어서
엄마는 아빠는 다 나만 바라보는데
내 마음은 그런 게 아닌데 자꾸만 멀어만 가
어떡해, 어떡해, 어떡해, 어떡해
시간이 약이라는 말이 내게 정말 맞더라고
하루가 지나면 지날수록 더 나아지더라고
근데 가끔은 너무 행복하면 또 아파올까 봐
내가 가진 이 행복들을 누군가가 가져갈까 봐
아름다운 아름답던 그 기억이 난 아파서
아픈 만큼 아파해도 사라지지를 않아서
친구들은 사람들은 다 나만 바라보는데
내 모습은 그런 게 아닌데 자꾸만 멀어만 가
그래도 난 어쩌면 내가
이 세상에 밝은 빛이라도 될까 봐
어쩌면 그 모든 아픔을 내딛고서라도 짧게 빛을 내볼까 봐
포기할 수가 없어
하루도 맘 편히 잠들 수가 없던 내가
이렇게라도 일어서 보려고 하면 내가
날 찾아줄까 봐
아아아아아아아 아아아아아아아
아아아아아아아 아아아아아아아
얼마나, 얼마나 아팠을까?
얼마나, 얼마나 아팠을까?
얼마나, 얼마나, 얼마나 바랬을까?"
23,24,34162394,조용히 완전히 영원히,너드커넥션 (Nerd Connection),75682,2021.10.27,"인디음악, 록/메탈","안녕 오늘 하루는 어땠나요
오늘 날씨만큼 흐렸나요
화창하진 않았대도
자그만 행복이 깃들었길 바래요
나의 하루는 여느 밤과 같았어요
모든 게 미워지더니
그게 결국 다 후회가 되고
전부 다 내 탓이 돼버렸어요
삶이란 건 알다가도 모르겠죠
내가 많이 사랑했던 게
나의 목을 조르는 밧줄이 되더니
나를 매달고 싶대요
알아요 나도 수없이 해봤어요
노력이라는 걸 말예요
근데 가난한 나의 마음과 영혼이
이제 그만해도 된대요
안녕 마지막 인사가 되겠네요
그동안 고마웠어요
이제 다신 볼 수 없기에
자그만 행복을 남겨두고 가요
스스로를 갉아먹는 나의 밤이
날 다 먹어 치울 때쯤
난 당신의 기억 속에서
조용히 완전히 영원히 사라지길"
